year,filename,abstract_extraction_status,energy_goal,energy_quote,software_contribution,software_quote,evaluation_method,evaluation_quote,recommendation,justification,error
2023,v010t10a026-detc2022-88415.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Experimental investigation and numerical analysis,"In this paper, we experimentally investigate the effects of an untuned suspended mass on the conductor as an analog for the mdr, and we perform numerical analysis in Matlab using equations of motion obtained via Hamilton’s principle.",Exclude,"The abstract does not focus on energy efficiency or software aspects of the robotic system, which are key inclusion criteria.",
2023,yajima-et-al-2020-use-of-indocyanine-green-fluorescence-imaging-to-determine-the-area-of-ileum-with-poor-blood-flow.pdf,Success,,,,,,,,,Error parsing LLM response: Expecting value: line 1 column 1 (char 0)
2024,00G5_actuators-13-00516-p.pdf,Success,Predict and optimize energy consumption in industrial robots,"thispaperpresentsakan-lstmmodeldesignedtoaccuratelypredictenergyconsumptionunderunknownloadconditions,alongsideaparticleswarmoptimization(pso)algorithmforminimizingenergyuse.",Development of a KAN-LSTM model and a PSO algorithm for energy prediction and optimization,"thispaperpresentsakan-lstmmodeldesignedtoaccuratelypredictenergyconsumptionunderunknownloadconditions,alongsideaparticleswarmoptimization(pso)algorithmforminimizingenergyuse.",Empirical assessment,"thekan-lstmmodelistrainedondatasetsfromtheaubo-e5robot,withitspredictionscomparedtoalternativenetworkmodels.finally,psoisappliedtooptimizeenergyconsumption.experimentalresultsindicate",Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an empirical assessment (i4), appears to be peer-reviewed (i5), and is written in English (i6). None of the exclusion criteria apply.",
2024,020340_1_5.0229350.pdf,Success,Efficient use of renewable energy,the main intent of the proposed system is to efficiently use renewable energy,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Exclude,The abstract does not mention any software aspects of the robotic system (i3) and does not provide any form of evaluation (i4).,
2024,030010_1_5.0221318.pdf,Success,"To find out the performance of the robot, starting from the power produced by the solar panel, how long it takes to charge the battery, to the efficiency of agricultural robots.","The purpose of this research is to find out the performance of the robot. Starting from the power produced by the solar panel, how long it takes to charge the battery, how long the agricultural robot is used per grain drying cycle to the efficiency of agricultural robots.",The control system of the robot uses a smartphone. The push button menu in the application is an input that is connected to a nodemcu that is deprogrammed using arduino software so that the robot can be controlled.,The control system of the robot uses a smartphone. The push button menu in the application is an input that is connected to a nodemcu that is deprogrammed using arduino software so that the robot can be controlled.,Laboratory scale research and evaluation of experimental results.,"In this research, there will be three methods, first literature study, second laboratory scale research and finally evaluation of experimental results.",Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through laboratory-scale research and evaluation of experimental results (i4). The study appears to be peer-reviewed (i5), and is written in English (i6). None of the exclusion criteria apply.",
2024,030017_1_5.0225576.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Exclude,The abstract does not mention any focus on energy efficiency or software aspects of the robotic system. There is also no mention of any evaluation method used in the study.,
2024,042044_1_7.0001590.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Empirical assessment,"The main aspect of this work is the development, testing, and evaluation of a multidimensional DED manufacturing approach.",Exclude,"The abstract does not mention any focus on energy efficiency or software aspects of the robotic system, which are key inclusion criteria.",
2024,1-s2.0-S0040162524003196-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,1-s2.0-S0306261924011267-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,1-s2.0-S030645492400118X-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,1-s2.0-S0360544224001889-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,1-s2.0-S0736584523001047-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,1-s2.0-S0736584524000218-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,1-s2.0-S0736584524000619-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,1-s2.0-S0736584524001030-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,1-s2.0-S0921889024000800-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,1-s2.0-S0921889024001465-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,1-s2.0-S1470160X24004151-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,1-s2.0-S1474034624002957-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,1-s2.0-S1877050924001261-main.pdf,Success,To optimize energy efficiency in collaborative robots,the robot agility energy consumption supports human skill up on energy efficiency in assembly tasks that demand a certain level of agility.,Development of a linear programming model for multi-objective optimization,a mixed-integer linear programming model is developed to address a case study from the automotive industry.,Case study and computational results,a case study from the automotive industry and computational results show that promising pareto solutions in terms of ct and tec can be obtained using the proposed approach.,Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), specifically on energy efficiency (i2) and software aspects (i3). It provides an evaluation through a case study (i4), is peer-reviewed (i5), and is written in English (i6). None of the exclusion criteria apply.",
2024,1-s2.0-S2352711024001213-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,126007039.pdf,Success,Determine the capacity of the battery to store and supply the energy needed for the base robot,"this research discusses the power consumption analysis of the bare-lang v base robot, which uses four brushed dc motors. The main objective of this research is to determine the capacity of the battery to store and supply the energy needed for the base robot.",Not Mentioned,Not Mentioned,"Motor frequency testing, power consumption testing with three load variations and four pwm (pulse width modulation) variations, electrical power calculation, battery capacity, and usage time","this research includes motor frequency testing, power consumption testing with three load variations and four pwm (pulse width modulation) variations, electrical power calculation, battery capacity, and usage time.",Exclude,"The study focuses on energy efficiency in robotics, but does not explicitly deal with any software aspect of the robotic system, which is a requirement for inclusion.",
2024,1328412.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Exclude,"The abstract does not meet the inclusion criteria as it does not focus on energy efficiency, software aspects of the robotic system, or provide any form of evaluation. The paper is more focused on the standardization of power robots.",
2024,3268-Article Text-3176-1-10-20240407.pdf,Success,Development of an energy-efficient intelligent automatic control system for a multi-motor electric drive of a mobile industrial robot.,a concept has been proposed for the development of an energy-efficient intelligent automatic control system for a multi-motor electric drive of a mobile industrial robot.,The use of neural networks in automatic control systems to increase their compliance with the assigned tasks.,the use of neural networks in automatic control systems makes it possible to increase their compliance with the assigned tasks.,Not Mentioned,Not Mentioned,Maybe,"The abstract meets the criteria i1, i2, i3, i5, and i6. However, it does not explicitly mention any evaluation method (i4), and it is not clear whether the full text is available (e5).",
2024,3610978.3640699.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Observation of the robot's gameplay interactions with children during two test sessions,"The goal of our presented pilot investigation was to assess child physical activity and direction-following during a game of robot-mediated rlgl. To this end, we observed the robot’s gameplay interactions with children during two test sessions with each of two age groups (four sessions total) of the oregon state individualized movement and physical activity for children today (impact) program, which works to offer adapted physical activity support",Exclude,The study does not meet the inclusion criteria i2 and i3 as it does not focus on energy efficiency or the software aspects of the robotic system. The study primarily focuses on the use of robots to promote physical activity in children with disabilities.,
2024,3674225.3674367.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Exclude,The abstract does not provide any information to evaluate against the inclusion and exclusion criteria.,
2024,978-3-031-47272-5_1.pdf,Success,Reduce an inspection robot’s energy consumption by optimizing the mechanical efficiency of its gear reducer’s traction motor.,This work aims to reduce an inspection robot’s energy consumption by optimizing the mechanical efficiency of its gear reducer’s traction motor.,Not Mentioned,Not Mentioned,The impact of the performance of the original and the optimized gearboxes in the batteries’ final SOC is evaluated.,The impact of the performance of the original and the optimized gearboxes in the batteries’ final SOC is evaluated.,Exclude,"The study focuses on energy efficiency in robotics, and provides an evaluation of the implemented solution. However, it does not explicitly deal with any software aspect of the robotic system, which is a necessary inclusion criterion.",
2024,978-3-031-49428-4_63.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,978-3-031-64057-5_43.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Laboratory and field tests,The robot’s performance was evaluated in laboratory settings using 3D printed asparagus models. Laboratory and field tests showed a high success rate,Exclude,"The abstract does not mention any focus on energy efficiency or software aspects of the robotic system, which are key inclusion criteria.",
2024,978-3-031-68275-9_16.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Case Study,"Through an analysis of three case studies in hrc, the paper identifies research gaps and proposes strategies to enhance hrc design for prefabrication and construction.",Exclude,"The abstract does not focus on energy efficiency or software aspects of the robotic system, which are key inclusion criteria for the literature review.",
2024,978-3-031-76428-8_54.pdf,Success,Optimize the monitoring and inspection process in energy plants using a fleet of robots and sensors,this paper presents a robot fleet management system designed for the energy industry.,"Proposed architecture follows a plugin-oriented approach, where each functionality is implemented as a plugin that can be individually enabled and configured based on specific monitoring requirements.","the proposed architecture follows a plugin-oriented approach, where each functionality is implemented as a plugin that can be individually enabled and configured based on specific monitoring requirements.",Not Mentioned,Not Mentioned,Exclude,"The abstract does not mention any form of evaluation of the proposed system, which is a requirement for inclusion (i4).",
2024,A_Minimum-energy_Trajectory_Planning_for_an_Inchworm-like_Climbing_Robot_Based_on_IPSOIGSA_Joint_Algorithm.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,Adv Funct Materials - 2023 - Hou - Scarab Beetle‐Inspired Embodied‐Energy Membranous‐Wing Robot with Flapping‐Collision.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,An_Improved_Model-Based_Power_Rate_Hyperbolic_Tangent_Sliding_Mode_Control_for_Robot_Manipulator.pdf,Success,Not Mentioned,Not Mentioned,"The study focuses on improving the control algorithm for robotic manipulators, specifically addressing the chattering phenomenon in sliding mode control.",this paper presents an approach to mitigate the control. trajectory tracking for mobile manipulators based chattering phenomenon in sliding mode control for robotic manipulators.,The study uses numerical simulations to evaluate the proposed method.,"numerical simulations demonstrate the superior performance of the modified model-based power rate hyperbolic tangent sliding mode control over conventional model-based sliding mode control across various test scenarios, including cases with external disturbances and noise.",Exclude,"While the study focuses on robotics and software aspects of the robotic system, and provides an evaluation of the proposed method, it does not focus on energy efficiency. Therefore, it does not meet all the inclusion criteria.",
2024,Bočák_2024_J._Phys.__Conf._Ser._2714_012003.pdf,Success,Find out at which height it is most suitable to work in order to achieve the lowest possible energy consumption,This article focuses on the electrical energy consumption of an industrial robot by changing its working height.,Use of simulation tools to optimize robot's working height for energy efficiency,"Research is realized on industrial robot ABB IRB 6700 using simulation tools such as ABB RobotStudio and Process Simulate, where different trajectory heights are simulated.",Simulation,Different trajectory heights are simulated.,Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through simulation (i4). However, it is not explicitly mentioned whether the study is peer-reviewed (i5), written in English (i6), or available as full-text (e5). The study does not seem to fall under any of the exclusion criteria.",
2024,Detailed visualization of radioactive hotspots inside the unit 1 reactor building of the Fukushima Daiichi Nuclear Power Station using an integrated R.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Empirical assessment,"we remotely visualized radioactive hotspots and dose-equivalent rate distribution in unit 1 reactor building of the station using a mecanum wheel robot equipped with a compton camera, simultaneous localization and mapping device, and survey meter.",Exclude,"The study does not focus on energy efficiency or software aspects of the robotic system, which are key inclusion criteria.",
2024,Development_of_Control_Strategies_for_an_Industrial_Robot_to_Increase_Energy_Efficiency.pdf,Success,Optimize the energy consumption of industrial robots,"the paper aims to optimize the energy consumption of industrial robots, with the goal of reducing operational costs and improving the sustainability of the production process.",Optimizing robot trajectory programming and using intelligent programming to enhance energy efficiency,"the methods discussed include using energy-efficient components, reducing idle times, and optimizing robot trajectory programming to minimize unnecessary movements.","Simulation of an industrial process for sorting and depalletizing parts using a KUKA KR 4 Agilus robot, and comparison of two movement routines","the project presents a simulation of an industrial process for sorting and depalletizing parts using a kuka kr 4 agilus robot, along with arduino development boards for control and coordination. to analyze energy and time efficiency, two movement routines were compared: one based on slin and the other on sptp.",Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through a simulation and comparison of movement routines (i4). Although the abstract does not explicitly state that it is a peer-reviewed study (i5) or that it is written in English (i6), these criteria are typically confirmed by the context in which the abstract is found. The abstract does not meet any of the exclusion criteria.",
2024,DevelopmentofaBatteryManagementSystemwithIoT-EnabledDataTrackingforAutonomousLoadRobot.pdf,Success,Efficient use of batteries and the minimization of energy losses,"battery management systems increase the safety and life of batteries by monitoring critical parameters such as voltage, temperature, and current of the cells",Development of a battery management system (BMS) with IoT monitoring capability for autonomous robots,this developed battery management system (bms) aims to provide the user with access to battery system data at any time,Not Mentioned,Not Mentioned,Maybe,"The abstract meets the criteria i1, i2, i3, i5, and i6. However, it does not clearly mention any evaluation method (i4), which makes it difficult to fully assess its suitability.",
2024,EV-Planner_Energy-Efficient_Robot_Navigation_via_Event-Based_Physics-Guided_Neuromorphic_Planner.pdf,Success,Energy efficiency in autonomous drone navigation,spikingneuralnetworks(snns)havegainedtractionforprocessingeventsasynchronouslyinanenergy-efficientmanner.,Development of an event-based physics-guided neuromorphic planner (EV-Planner) for obstacle avoidance using neuromorphic event cameras and physics-based AI,"inthisletter,wepresentanevent-basedphysics-guided neuromorphic planner (ev-planner) to perform obstacle avoidance using neuromorphic event cameras and physics-based ai.",Simulation results for safe collision-free flight trajectories,"simulationresultsforsafecollision-free flight trajectories are presented with performance analysis,ablationstudyandpotentialfutureresearchdirections.",Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through simulation results (i4), appears to be a peer-reviewed study (i5), and is written in English (i6). None of the exclusion criteria apply.",
2024,Early Detection of Mobile Device Battery Swelling Using Pressure-.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,Energy efficient scheduling in a robotic cell with a material handling robot serving two parallel machines.pdf,Success,Achieve significant energy savings in robotic cells,the energy consumption of material handling robots becomes a significant concern.,Develop heuristic search algorithms for robot speed control,"while programming a robot, its speed can be easily adjusted. speeding up a robot can reduce the makespan of a schedule while increasing the robot’s energy consumption.",Computational performance testing of the proposed solution methods,we test the proposed solution methods’ computational performance and demonstrate that the robot speed control strategy can achieve significant energy savings.,Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through computational performance testing (i4), and it appears to be a peer-reviewed study (i5). The study is written in English (i6). None of the exclusion criteria apply.",
2024,Energy_Management_of_a_Fuel_Ce.pdf,Success,Improvement of the overall energy efficiency,thispaperpresentsanewmulti-levelonlineenergymanagementstrategyforafuelcell electricrobot...improvementof theoverallenergyefficiencybasedontheproposedfunctionofthebatteryoverchargecontrol,Development of a multi-level online energy management strategy,thispaperpresentsanewmulti-levelonlineenergymanagementstrategyforafuelcell electricrobot,Simulation study,thesimulationstudyoftheproposedonlinemulti-levelenergymanagementstrategywascarried outwithmatlabr2018bsoftware,Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through a simulation study (i4), and it is presumably a peer-reviewed study written in English (i5, i6). None of the exclusion criteria apply.",
2024,GDRKMCC24_31.pdf,Success,Not Mentioned,Not Mentioned,Model-based systems engineering used to develop a tool that supports robot implementation in base defense plans.,This presentation discusses a project in model-based systems engineering used to develop a tool that supports robot implementation in base defense plans.,"Simulation that estimates robot range based on factors including distance patrolled, changes in elevation, local weather, battery capacity, and recharge rates.","The key feature of the tool is a simulation that estimates robot range based on factors including distance patrolled, changes in elevation, local weather, battery capacity, and recharge rates.",Exclude,The abstract does not meet the inclusion criteria i2 (focus on energy efficiency) and i5 (peer-reviewed study). It also does not explicitly mention if it is written in English (i6).,
2024,ICJE-10-5-518-523.pdf,Success,Not Mentioned,Not Mentioned,Development of a digital twin system for a multifunctional underwater detection robot for nuclear power stations.,"To solve the above problems, the digital twin system of the multifunctional underwater detection robot for nuclear power station is developed through the digital twin technology architecture.",Not Mentioned,Not Mentioned,Exclude,"The abstract does not mention any focus on energy efficiency (i2), nor does it provide any form of evaluation (i4).",
2024,Indocyanine Green–Guided Near-Infrared Fluorescence Enhances Vascular Anatomy in Robot-Assisted DIEP Flap Harvest.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,Journal of Sensors - 2024 - Paneru - Green Energy Production Aid Spider Robot  An Innovative Approach for Waste Separation.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,Leveraging_the_Power_of_LLMs_to_Transform_Robot_Programs_into_Low-Code.pdf,Success,Not Mentioned,Not Mentioned,The study explores the transformation of robot programs into low-code with large language models (LLMs) using examples from an industry-academia collaboration.,"in industrial automation, and in particular in robot programming, there are many layers of abstraction from atomic instructions up to compound skills. given the recent advances in artificial intelligence (ai) for the software engineering, we present an initial exploratory study that demonstrates the transformation of robot programs into low-code with large language models (llms) using examples from an industry-academia collaboration.",Not Mentioned,Not Mentioned,Exclude,"The abstract does not mention any focus on energy efficiency (i2), nor does it mention any form of evaluation (i4). Therefore, it does not meet all the inclusion criteria.",
2024,"Modelling,_Analysis_and_Compar.pdf",Success,Analyse the energy consumption of printing robots,an important aspect of the sustainability assessment is the energy efficiency of the printing robots.,Developed software tools for measuring energy quantities,"an open control system of the printing robot is used for the measurement of energy quantities, and specially developed software tools are introduced.",Empirical assessment and comparison,we also present the first direct comparison of the energy consumption of different printing robots when following a uniform printing trajectory.,Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an empirical assessment (i4), is a peer-reviewed study (i5), and is written in English (i6). None of the exclusion criteria apply.",
2024,Optimal_robot_motion_planning_for_human-robot_collaboration_considering_power_and_force_limiting.pdf,Success,Optimize robot trajectories for a fixed path constraining the transferred energy,"in this paper, trajectories are optimized for a fixed path constraining the transferred energy calculated with the configuration- and direction-dependent robot mass instead.",Optimization of robot trajectories for energy efficiency,the trajectory is optimized respecting position-dependent safe velocity constraints to achieve significant motion time reductions by not restricting the solution to a prescribed path.,Comparative analysis of different safety-related constraints on trajectory optimization,the results of time-optimal path parameterization of an initial path and the results from trajectory optimization with a free path are evaluated and the obtained motion time reductions are compared.,Include,"The abstract focuses on robotics, energy efficiency, and software aspects of the robotic system. It provides an evaluation of the proposed method. However, it is not clear whether the study is peer-reviewed, written in English, or available as full-text.",
2024,Power_Transfer_and_5D_Position_Control_of_an_Endoscopic_Capsule_Robot.pdf,Success,Developing miniaturized endoscopic capsules with greater energy density and exploring alternative methods of powering the capsules,"researchers are working on developing miniaturized endoscopic capsules represent a significant batteries with greater energy density, as well as exploring alternative methods of powering the capsules, such as harvesting energy from the body’s own movements or heat.",Not Mentioned,Not Mentioned,Empirical assessment of wireless power transfer capabilities and positioning control,"we demonstrate wireless power transfer capabilities, achieving over 1 w at 850 hz, along with effective 5d positioning control across various movement patterns.",Exclude,"While the study focuses on robotics and energy efficiency, it does not explicitly deal with any software aspect of the robotic system, thus failing to meet inclusion criterion i3.",
2024,Proceedings_of_the_7th_FIRST_2023_International_Co..._----_(Automatic_Transfer_Switch_System_for_Controlling_theEnergy_Utilization...).pdf,Success,Improve the performance of ATS in making decisions by processing voltage sensor data,the greenhouse mobile robot is designed using a solar panel and battery that are regulated by an automatic transfer switch (ats) to automate the switching of the two sources of electrical energy.,Use of neural network to improve the performance of ATS,the neural network aims to improve the performance of ats in making decisions by processing voltage sensor data in arduino mega 2560 through independent training,Empirical assessment,resulting in an mse value of 0.003001. the results of the ats system show success in making a decision so that the greenhouse mobile robot can continue to operate independently using solar panels and battery alternately.,Include,"The abstract meets all the inclusion criteria: it focuses on robotics, energy efficiency, and software aspects of the robotic system. It provides an empirical assessment and appears to be a primary, peer-reviewed study written in English.",
2024,Real-Time_Model_Predictive_Control_for_Energy-Optimal_Obstacle_Avoidance_in_Parallel_SCARA_Robot_for_a_Pick_and_Place_Application.pdf,Success,Energy-optimal obstacle avoidance of a parallel selective compliance articulated robot arm (SCARA) robot for a pick and place application.,The results show that the nl-mpc approach can improve the energy efficiency by approx. 25% while avoiding the obstacles successfully.,Design and real-time implementation of an online arm model predictive control (nl-mpc) for energy-optimal obstacle avoidance.,"In this article, we present the design formulation and implementation of mpc, focusing on sustainable objectives and dynamic constraints.",Real-time implementation and testing on a conveyor belt simulation scenario with dynamic obstacles.,The proposed approach is tested on a conveyor belt simulation scenario with dynamic obstacles and compared with a conventional industrial application solution.,Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through a real-time implementation and testing (i4), and it appears to be a peer-reviewed study (i5). The study is written in English (i6). None of the exclusion criteria apply.",
2024,Research_and_Implementation_of_Pointer_Instrument_Reading_Recognition_Method_for_Power_Plant_Inspection_Robot.pdf,Success,Not Mentioned,Not Mentioned,The paper proposes a method for pointer-style instrument reading recognition based on the combination of YOLOv5 and U2-Net. The whole instrument identification process is communicated to the outside world through the ROS message mechanism and web API interface.,We propose a method for pointer-style instrument reading recognition based on the combination of YOLOv5 and U2-Net. The whole instrument identification process is communicated to the outside world through the ROS message mechanism and web API interface.,Not Mentioned,Not Mentioned,Exclude,The paper does not meet the inclusion criteria i2 (focus on energy efficiency) and i4 (provides a certain level of evaluation). The abstract does not mention any focus on energy efficiency nor does it mention any evaluation method used to assess the proposed method.,
2024,Research_on_Multi-robot_Path_Planning_Based_on_Optimal_Energy_Consumption.pdf,Success,Aiming at the problem of energy consumption in the two-layer optimization in multi-robot path planning,"this paper presents a solution framework, sharon [7] proposed a complete and multi-robot path planning algorithm based on optimal energy optimal conflict-based search algorithm (cbs).","Improve the traditional A* algorithm to improve the efficiency and stability of multi-robot task execution through a three-step strategy, including queue priority, conflict avoidance and parking scheduling.","Then, puts forward a new oeca* (optimal energy consumption a*) algorithm, the algorithm integrates the multiple factors combination model of energy consumption, in order to more accurately estimate the energy consumption in the process of robot path planning in.",Comparative experiments,"Then, this paper verifies the performance of the improved a* algorithm and oeca* algorithm through comparative experiments, and the results show that oeca* algorithm has a good advantage in energy consumption.",Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through comparative experiments (i4). The study is presumably peer-reviewed and written in English (i5, i6), although this information is not explicitly mentioned in the abstract. None of the exclusion criteria apply based on the information in the abstract.",
2024,Research_on_Robot_Power_Distribution_Cabinet_Operation_Based_on_Machine_Vision.pdf,Success,Not Mentioned,Not Mentioned,The study proposes a vision processing method for a robotic system to identify the status of power distribution cabinets and to recognize and calculate the rotation angle of knobs.,we also proposed a vision processing method to identify the status of the power distribution cabinet and to recognize and calculate the rotation angle of knobs.,"The system was tested on a power distribution cabinet platform, with the robot performing corresponding tasks and achieving success rates of 100%, 80%, and 70% respectively.","the robot was then controlled to perform the corresponding tasks, achieving success rates of 100%, 80%, and 70% respectively.",Exclude,"While the study focuses on robotics and software aspects, and provides an evaluation, it does not explicitly focus on energy efficiency, which is one of the key inclusion criteria.",
2024,Research_the_Potential_for_Energy_Saving_and_Maximizing_Productivity_in_Rectilinear_Transitions_of_a_Collaborative_Robot.pdf,Success,Energy efficiency in collaborative robotic systems,"the most important indicators of operational efficiency, original capture, for example, as in [13, 14], a statically unknown moment in advance [15] and is determined by the multivariate algorithmic component of the strategy and tactics of planning movements as reactions to specifying and disturbing influences.",Algorithm for calculating energy costs and execution time of the simplest technological operation,this article presents an algorithm for calculating energy costs and execution time of the simplest technological operation - linear movement of the tool center point (tcp) depending on the choice linear speed change graph profile.,Simulation,the work presents an example of modeling the implementation of a kuka lbr iiwa 7 r800 collaborative robot for rectilinear movement of tcp from one point to another in the matlab environment.,Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through simulation (i4), is presumably peer-reviewed (i5), and is written in English (i6). None of the exclusion criteria apply.",
2024,Ricmonk_A_Three-Link_Brachiation_Robot_with_Passive_Grippers_for_Energy-Efficient_Brachiation.pdf,Success,Improve energy efficiency in robotics,"brachiation, an agile and energy-efficient mode of locomotion observed in primates, has inspired the development of ricmonk... to demonstrate that the presence of a passive tail helps improve energy efficiency.",Software implementation for energy-efficient robotic locomotion,the paper discusses the use of the direct collocation methodology for optimizing trajectories for the robot’s dynamic behaviors and stabilization of these trajectories using a time-varying linear quadratic regulator... software implementation are publicly available on github,Performance evaluation and comparative analysis,"this paper presents the design, analysis, and performance evaluation of ricmonk... and provide comparative analysis with its predecessor, acromonk - a two-link brachiation robot",Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides a certain level of evaluation (i4), is a peer-reviewed study (i5), and is written in English (i6). None of the exclusion criteria apply.",
2024,Robust_Design_of_Floor_Cleaning_Robot_with_Smart_Power_Handling_Abilities_Based_on_Solar_Assisted_Renewable_Energy_Sources.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Exclude,"The abstract does not provide any information about energy efficiency, software aspects of the robotic system, or any form of evaluation. Therefore, it does not meet the inclusion criteria.",
2024,Shen_2025_Meas._Sci._Technol._36_016155.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Empirical assessment,"an rv reducer test rig was used for the experiment, and the analysis results from the proposed approach, cyclic spectral coherence, and ies via feature optimization-gram were contrasted.",Exclude,"The abstract does not mention any focus on energy efficiency or software aspects of the robotic system, which are key inclusion criteria.",
2024,Small - 2024 - Han - An Untethered Soft Crawling Robot Driven by Wireless Power Transfer Technology.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2024,Solar_Based_Battery_Efficient_Robot_Using_Raspberry_Pi.pdf,Success,"Developing affordable, user-friendly, and battery-efficient robots, with a particular emphasis on solar-powered alternatives.","the robot is designed to harness solar energy, providing a reliable and sustainable power source. The battery management system is pivotal in this research, as it ensures the battery is charged optimally and prevents overcharging or deep discharging, thus extending the battery life.","The proposed robotic system is designed to be autonomous, utilizing a raspberry pi as its primary device.",raspberry pi processes the input from the ultrasonic sensor and controls the robot’s movements accordingly.,Not Mentioned,Not Mentioned,Maybe,"The abstract meets the criteria i1, i2, i3, i5, and i6. However, it does not clearly mention any evaluation method (i4), which makes it difficult to fully assess its suitability for inclusion.",
2024,Spike-based_high_energy_efficiency_and_accuracy_tracker_for_Robot.pdf,Success,Improve energy efficiency in robot tracking,"Spike-based trackers can leverage snns to enable high-precision tracking efficiently on robots, combining low energy consumption with speed.",Propose a new software module for robot tracking that improves energy efficiency,"We propose the 'motion feature extractor' and the 'rgb-dvs fusion module'. The 'motion feature extractor' can replace the dvs camera at a very low cost, and the 'rgb-dvs fusion module' can deeply fuse the feature information of the two to make up for their respective deficiencies.",Empirical assessment,"Through experiments, our model achieves a 13.6% improvement in the expected average overlap (eao) index using only 1.47% of the energy consumption of siamrpn (vot2016 dataset). In addition, we deployed the model to a robot and then conducted tracking experiments, which confirmed that the model can operate on the robot losslessly with satisfactory results.",Include,"The study meets all the inclusion criteria: it focuses on robotics, energy efficiency, and software aspects of the robotic system. It provides an empirical assessment and appears to be a primary, peer-reviewed study written in English.",
